順位,騎手名,,騎乗回数,1着,2着,3着,4着以下,勝率,連対率,収得賞金（円）,騎手パワー,
1,笹川翼,浦和,315,93,61,49,112,29.50%,48.90%,"295,345,000",,
2,野畑凌,浦和,345,63,38,30,214,18.30%,29.30%,"237,680,000",,
3,張田昂,浦和,162,24,24,23,91,14.80%,29.60%,"167,560,000",,
4,福原杏,浦和,302,53,31,37,181,17.50%,27.80%,"152,450,000",,
5,中山遥人,浦和,323,41,29,32,221,12.70%,21.70%,"101,385,000",,
6,本田正重,浦和,117,18,22,25,52,15.40%,34.20%,"96,765,000",,
7,七夕裕次郎,浦和,310,26,25,28,231,8.40%,16.50%,"91,920,000",,
8,山中悠希,浦和,228,30,20,16,162,13.20%,21.90%,"90,590,000",,
9,町田直希,浦和,188,22,26,20,120,11.70%,25.50%,"87,890,000",,
10,秋元耕成,浦和,283,15,17,19,232,5.30%,11.30%,"80,055,000",,
11,川須栄彦,浦和,1,1,0,0,0,100.00%,100.00%,"80,000,000",,
12,矢野貴之,浦和,76,10,13,11,42,13.20%,30.30%,"78,350,000",,
13,保園翔也,浦和,241,19,24,28,170,7.90%,17.80%,"72,000,000",,
14,御神本訓史,浦和,28,10,7,2,9,35.70%,60.70%,"67,400,000",,
15,西啓太,浦和,187,19,22,19,127,10.20%,21.90%,"67,315,000",,
16,見越彬央,浦和,205,22,24,19,140,10.70%,22.40%,"67,190,000",,
17,室陽一朗,浦和,282,15,20,27,220,5.30%,12.40%,"65,200,000",,
18,岡村健司,浦和,187,19,18,23,127,10.20%,19.80%,"63,725,000",,
19,本橋孝太,浦和,83,12,15,8,48,14.50%,32.50%,"55,660,000",,
20,吉原寛人,浦和,36,5,5,3,23,13.90%,27.80%,"40,595,000",,
21,岩田康誠,浦和,1,1,0,0,0,100.00%,100.00%,"40,000,000",,
22,半澤慶実,浦和,181,8,11,15,147,4.40%,10.50%,"39,135,000",,
23,藤本現暉,浦和,67,6,10,7,44,9.00%,23.90%,"36,080,000",,
24,櫻井光輔,浦和,175,7,16,19,133,4.00%,13.10%,"31,120,000",,
25,菅原涼太,浦和,123,8,5,10,100,6.50%,10.60%,"30,920,000",,
26,菱田裕二,浦和,1,1,0,0,0,100.00%,100.00%,"30,000,000",,
27,高橋哲也,浦和,171,5,14,10,142,2.90%,11.10%,"29,685,000",,
28,佐野遥久,浦和,119,4,15,12,88,3.40%,16.00%,"28,115,000",,
29,赤津和希,浦和,189,7,8,8,166,3.70%,7.90%,"26,270,000",,
30,木間塚龍馬,浦和,135,5,9,9,112,3.70%,10.40%,"24,880,000",,
31,篠谷葵,浦和,80,6,7,5,62,7.50%,16.30%,"24,345,000",,
32,及川烈,浦和,117,7,7,15,88,6.00%,12.00%,"24,065,000",,
33,笠野雄大,浦和,99,4,10,11,74,4.00%,14.10%,"23,135,000",,
34,加藤和博,浦和,114,4,7,9,94,3.50%,9.60%,"21,630,000",,
35,澤田龍哉,浦和,65,7,5,2,51,10.80%,18.50%,"21,245,000",,
36,吉留孝司,浦和,148,2,8,13,125,1.40%,6.80%,"20,485,000",,
37,小野楓馬,浦和,60,3,8,4,45,5.00%,18.30%,"20,120,000",,
38,加藤雄真,浦和,74,5,5,6,58,6.80%,13.50%,"17,715,000",,
39,達城龍次,浦和,55,2,2,9,42,3.60%,7.30%,"16,350,000",,
40,藤江渉,浦和,95,6,6,7,76,6.30%,12.60%,"16,250,000",,
41,川田将雅,浦和,1,0,0,1,0,0.00%,0.00%,"16,000,000",,
42,横山和生,浦和,1,0,1,0,0,0.00%,100.00%,"14,000,000",,
43,岡田大,浦和,120,4,7,8,101,3.30%,9.20%,"13,765,000",,
44,石川倭,浦和,18,4,2,2,10,22.20%,33.30%,"11,265,000",,
45,菊澤一樹,浦和,3,2,0,0,1,66.70%,66.70%,"11,000,000",,
46,Ｍ．ミシェル,浦和,30,4,1,3,22,13.30%,16.70%,"10,715,000",,
47,仲野光馬,浦和,39,2,2,4,31,5.10%,10.30%,"10,650,000",,
48,新原周馬,浦和,58,3,4,4,47,5.20%,12.10%,"10,165,000",,
49,Ｒ．クアトロ,浦和,19,3,0,1,15,15.80%,15.80%,"9,445,000",,
50,團野大成,浦和,1,0,0,1,0,0.00%,0.00%,"8,000,000",,
51,落合玄太,浦和,10,0,2,2,6,0.00%,20.00%,"7,920,000",,
52,小杉亮,浦和,34,2,2,1,29,5.90%,11.80%,"7,620,000",,
53,山崎誠士,浦和,25,2,2,4,17,8.00%,16.00%,"7,465,000",,
54,桑村真明,浦和,17,3,2,1,11,17.60%,29.40%,"7,290,000",,
55,中島良美,浦和,135,2,3,5,125,1.50%,3.70%,"6,865,000",,
56,鷹見陸,浦和,25,0,1,4,20,0.00%,4.00%,"6,390,000",,
57,川島正太郎,浦和,15,2,2,2,9,13.30%,26.70%,"5,920,000",,
58,國分祐仁,浦和,111,1,2,4,104,0.90%,2.70%,"5,875,000",,
59,安藤洋一,浦和,6,1,1,0,4,16.70%,33.30%,"4,790,000",,
60,増田充宏,浦和,32,1,4,0,27,3.10%,15.60%,"4,510,000",,
61,丹内祐次,浦和,6,1,1,0,4,16.70%,33.30%,"4,500,000",,
62,池谷匠翔,浦和,44,2,0,1,41,4.50%,4.50%,"4,380,000",,
63,山林堂信彦,浦和,20,1,3,0,16,5.00%,20.00%,"4,335,000",,
64,石橋脩,浦和,1,0,0,0,1,0.00%,0.00%,"4,000,000",,
64,坂井瑠星,浦和,2,0,0,0,2,0.00%,0.00%,"4,000,000",,
66,山口達弥,浦和,26,0,3,2,21,0.00%,11.50%,"3,980,000",,
67,山本大翔,浦和,26,2,1,1,22,7.70%,11.50%,"3,420,000",,
68,伊藤裕人,浦和,24,0,3,1,20,0.00%,12.50%,"3,380,000",,
69,今野忠成,浦和,17,0,4,0,13,0.00%,23.50%,"3,370,000",,
70,古岡勇樹,浦和,23,1,1,2,19,4.30%,8.70%,"3,360,000",,
71,仲原大生,浦和,8,1,2,0,5,12.50%,37.50%,"3,030,000",,
72,大野拓弥,浦和,1,1,0,0,0,100.00%,100.00%,"3,000,000",,
72,武豊,浦和,2,0,0,0,2,0.00%,0.00%,"3,000,000",,
74,田中涼,浦和,13,1,0,1,11,7.70%,7.70%,"2,925,000",,
75,中越琉世,浦和,13,0,3,1,9,0.00%,23.10%,"2,665,000",,
76,西村栄喜,浦和,17,1,0,1,15,5.90%,5.90%,"2,565,000",,
77,佐藤翔馬,浦和,7,1,1,0,5,14.30%,28.60%,"2,560,000",,
78,原優介,浦和,7,0,1,1,5,0.00%,14.30%,"2,400,000",,
79,高橋利幸,浦和,9,1,1,1,6,11.10%,22.20%,"2,315,000",,
80,濱田達也,浦和,16,0,1,3,12,0.00%,6.30%,"2,200,000",,
81,服部茂史,浦和,8,0,1,2,5,0.00%,12.50%,"2,090,000",,
82,阿岸潤一朗,浦和,2,1,0,0,1,50.00%,50.00%,"1,800,000",,
83,藤田凌,浦和,5,0,1,0,4,0.00%,20.00%,"1,700,000",,
83,舟山瑠泉,浦和,5,1,1,0,3,20.00%,40.00%,"1,700,000",,
85,神尾香澄,浦和,25,0,1,0,24,0.00%,4.00%,"1,545,000",,
86,所蛍,浦和,22,0,2,1,19,0.00%,9.10%,"1,540,000",,
87,椿聡太,浦和,17,0,0,2,15,0.00%,0.00%,"1,480,000",,
88,庄司大輔,浦和,18,0,1,2,15,0.00%,5.60%,"1,395,000",,
89,山本聡紀,浦和,8,1,1,0,6,12.50%,25.00%,"1,360,000",,
90,武藤雅,浦和,1,0,1,0,0,0.00%,100.00%,"1,200,000",,
91,野澤憲彦,浦和,7,0,0,1,6,0.00%,0.00%,"1,100,000",,
92,岡村裕基,浦和,22,0,1,0,21,0.00%,4.50%,"1,025,000",,
92,吉井章,浦和,16,0,0,1,15,0.00%,0.00%,"1,025,000",,
94,長浜鴻緒,浦和,6,0,0,1,5,0.00%,0.00%,"1,000,000",,
95,藤原幹生,浦和,13,0,0,0,13,0.00%,0.00%,"970,000",,
96,原田和真,浦和,1,0,0,1,0,0.00%,0.00%,"750,000",,
97,若杉朝飛,浦和,2,0,0,1,1,0.00%,0.00%,"670,000",,
98,谷原柚希,浦和,2,0,1,0,1,0.00%,50.00%,"640,000",,
99,柴田大知,浦和,3,0,0,0,3,0.00%,0.00%,"600,000",,
100,谷内貫太,浦和,4,0,0,0,4,0.00%,0.00%,"575,000",,
1,本田正重,船橋,395,84,68,48,195,21.30%,38.50%,"327,101,000",,
2,笹川翼,船橋,253,57,47,25,124,22.50%,41.10%,"316,501,000",,
3,矢野貴之,船橋,274,45,33,45,151,16.40%,28.50%,"228,353,000",,
4,張田昂,船橋,321,39,49,37,196,12.10%,27.40%,"221,601,000",,
5,本橋孝太,船橋,289,30,32,30,197,10.40%,21.50%,"163,840,000",,
6,岡村健司,船橋,372,35,30,41,266,9.40%,17.50%,"152,782,000",,
7,御神本訓史,船橋,120,38,17,12,53,31.70%,45.80%,"149,685,000",,
8,山中悠希,船橋,371,37,35,36,263,10.00%,19.40%,"143,405,000",,
9,野畑凌,船橋,248,29,24,32,163,11.70%,21.40%,"131,126,000",,
10,Ｃ．ルメール,船橋,3,1,1,1,0,33.30%,66.70%,"116,500,000",,
11,篠谷葵,船橋,261,31,28,17,185,11.90%,22.60%,"105,561,000",,
12,笠野雄大,船橋,268,31,22,26,189,11.60%,19.80%,"98,233,000",,
13,川島正太郎,船橋,217,26,31,21,139,12.00%,26.30%,"92,597,000",,
14,町田直希,船橋,162,16,18,20,108,9.90%,21.00%,"92,491,000",,
15,川須栄彦,船橋,1,1,0,0,0,100.00%,100.00%,"80,000,000",,
16,澤田龍哉,船橋,173,16,17,16,124,9.20%,19.10%,"69,919,000",,
17,坂井瑠星,船橋,4,1,1,0,2,25.00%,50.00%,"68,000,000",,
18,松山弘平,船橋,4,1,1,1,1,25.00%,50.00%,"67,000,000",,
19,山口達弥,船橋,251,17,28,16,190,6.80%,17.90%,"66,975,000",,
20,仲野光馬,船橋,279,15,23,23,218,5.40%,13.60%,"60,877,000",,
21,横山武史,船橋,2,1,0,0,1,50.00%,50.00%,"60,000,000",,
22,木間塚龍馬,船橋,331,14,10,18,289,4.20%,7.30%,"58,536,000",,
23,吉原寛人,船橋,40,3,8,7,22,7.50%,27.50%,"57,470,000",,
24,西啓太,船橋,110,10,9,8,83,9.10%,17.30%,"52,960,000",,
25,川田将雅,船橋,4,0,1,1,2,0.00%,25.00%,"48,000,000",,
26,吉村智洋,船橋,4,1,0,0,3,25.00%,25.00%,"46,680,000",,
27,藤本現暉,船橋,94,10,7,14,63,10.60%,18.10%,"40,810,000",,
28,小杉亮,船橋,209,6,18,22,163,2.90%,11.50%,"40,407,000",,
29,所蛍,船橋,194,10,8,19,157,5.20%,9.30%,"39,907,000",,
30,戸崎圭太,船橋,5,2,0,1,2,40.00%,40.00%,"37,650,000",,
31,濱中俊,船橋,1,0,1,0,0,0.00%,100.00%,"35,000,000",,
32,庄司大輔,船橋,141,7,8,14,112,5.00%,10.60%,"34,776,000",,
33,落合玄太,船橋,3,1,1,0,1,33.30%,66.70%,"31,400,000",,
34,山本大翔,船橋,167,13,16,7,131,7.80%,17.40%,"30,792,000",,
35,石川倭,船橋,54,1,5,7,41,1.90%,11.10%,"30,210,000",,
36,椿聡太,船橋,153,6,9,12,126,3.90%,9.80%,"26,289,000",,
37,濱田達也,船橋,137,4,10,14,109,2.90%,10.20%,"24,234,000",,
38,臼井健太郎,船橋,156,5,12,11,128,3.20%,10.90%,"22,043,000",,
39,藤田凌,船橋,21,3,5,1,12,14.30%,38.10%,"21,872,000",,
40,武豊,船橋,3,0,0,1,2,0.00%,0.00%,"20,000,000",,
41,野澤憲彦,船橋,120,5,5,11,99,4.20%,8.30%,"19,679,000",,
42,山崎誠士,船橋,43,3,8,4,28,7.00%,25.60%,"17,265,000",,
43,岩田望来,船橋,4,0,1,0,3,0.00%,25.00%,"17,000,000",,
44,Ｄ．レーン,船橋,1,0,0,1,0,0.00%,0.00%,"16,000,000",,
45,桑村真明,船橋,45,2,6,1,36,4.40%,17.80%,"15,685,000",,
46,佐野遥久,船橋,45,3,3,7,32,6.70%,13.30%,"14,417,000",,
47,藤岡佑介,船橋,2,0,0,0,2,0.00%,0.00%,"14,000,000",,
48,實川純一,船橋,73,3,6,6,58,4.10%,12.30%,"12,806,000",,
49,中山遥人,船橋,68,5,3,4,56,7.40%,11.80%,"11,785,000",,
50,和田譲治,船橋,16,3,2,2,9,18.80%,31.30%,"11,650,000",,
51,高橋利幸,船橋,84,3,2,3,76,3.60%,6.00%,"11,316,000",,
52,福原杏,船橋,53,2,1,5,45,3.80%,5.70%,"10,823,000",,
53,秋元耕成,船橋,98,4,1,3,90,4.10%,5.10%,"10,688,000",,
54,Ｒ．クアトロ,船橋,20,3,0,4,13,15.00%,15.00%,"10,538,000",,
55,山本聡哉,船橋,3,0,1,0,2,0.00%,33.30%,"10,500,000",,
56,藤原幹生,船橋,54,1,0,7,46,1.90%,1.90%,"9,980,000",,
57,山本聡紀,船橋,59,4,3,2,50,6.80%,11.90%,"9,818,000",,
58,西村栄喜,船橋,113,1,3,8,101,0.90%,3.50%,"9,619,000",,
59,高杉吏麒,船橋,1,0,1,0,0,0.00%,100.00%,"8,400,000",,
60,増田充宏,船橋,16,2,2,0,12,12.50%,25.00%,"8,100,000",,
61,横山和生,船橋,2,0,0,0,2,0.00%,0.00%,"8,000,000",,
62,櫻井光輔,船橋,35,4,2,3,26,11.40%,17.10%,"7,935,000",,
63,保園翔也,船橋,32,2,1,1,28,6.30%,9.40%,"6,843,000",,
64,古岡勇樹,船橋,34,1,5,4,24,2.90%,17.60%,"6,637,000",,
65,達城龍次,船橋,30,0,2,5,23,0.00%,6.70%,"5,830,000",,
66,菅原涼太,船橋,26,3,1,0,22,11.50%,15.40%,"5,730,000",,
67,室陽一朗,船橋,56,1,2,2,51,1.80%,5.40%,"5,655,000",,
68,Ｍ．ミシェル,船橋,26,0,3,1,22,0.00%,11.50%,"4,770,000",,
69,鷹見陸,船橋,18,1,2,1,14,5.60%,16.70%,"4,735,000",,
70,伊藤裕人,船橋,17,1,2,3,11,5.90%,17.60%,"4,657,000",,
71,池谷匠翔,船橋,23,0,1,2,20,0.00%,4.30%,"4,557,000",,
72,七夕裕次郎,船橋,42,2,0,2,38,4.80%,4.80%,"4,415,000",,
73,小崎綾也,船橋,2,1,0,0,1,50.00%,50.00%,"4,000,000",,
74,飛田愛斗,船橋,4,1,1,0,2,25.00%,50.00%,"3,900,000",,
75,横山琉人,船橋,3,1,1,0,1,33.30%,66.70%,"3,640,000",,
76,服部茂史,船橋,14,1,0,1,12,7.10%,7.10%,"3,480,000",,
77,佐々木大輔,船橋,3,1,0,1,1,33.30%,33.30%,"3,125,000",,
78,大野拓弥,船橋,1,0,0,0,1,0.00%,0.00%,"3,000,000",,
79,藤江渉,船橋,31,1,0,2,28,3.20%,3.20%,"2,750,000",,
80,丹内祐次,船橋,5,0,1,1,3,0.00%,20.00%,"2,600,000",,
81,柴田大知,船橋,1,1,0,0,0,100.00%,100.00%,"2,500,000",,
81,永島まなみ,船橋,1,1,0,0,0,100.00%,100.00%,"2,500,000",,
81,長浜鴻緒,船橋,2,1,0,0,1,50.00%,50.00%,"2,500,000",,
81,原優介,船橋,6,0,1,1,4,0.00%,16.70%,"2,500,000",,
85,今野忠成,船橋,5,0,0,0,5,0.00%,0.00%,"2,130,000",,
86,見越彬央,船橋,20,1,1,0,18,5.00%,10.00%,"2,026,000",,
87,小林美駒,船橋,5,0,0,2,3,0.00%,0.00%,"1,875,000",,
88,神尾香澄,船橋,17,0,1,1,15,0.00%,5.90%,"1,662,000",,
89,半澤慶実,船橋,26,0,0,1,25,0.00%,0.00%,"1,620,000",,
90,小沢大仁,船橋,1,0,0,1,0,0.00%,0.00%,"1,600,000",,
91,加藤和博,船橋,11,0,1,2,8,0.00%,9.10%,"1,520,000",,
92,小野楓馬,船橋,5,1,0,0,4,20.00%,20.00%,"1,470,000",,
93,今村聖奈,船橋,4,0,1,0,3,0.00%,25.00%,"1,455,000",,
94,田中涼,船橋,9,0,0,1,8,0.00%,0.00%,"1,338,000",,
95,及川烈,船橋,11,0,2,0,9,0.00%,18.20%,"1,279,000",,
96,中島良美,船橋,13,0,0,2,11,0.00%,0.00%,"1,238,000",,
97,安藤洋一,船橋,5,0,0,0,5,0.00%,0.00%,"1,200,000",,
98,武藤雅,船橋,1,0,0,1,0,0.00%,0.00%,"1,000,000",,
99,赤津和希,船橋,16,1,0,0,15,6.30%,6.30%,"900,000",,
100,山林堂信彦,船橋,5,0,1,1,3,0.00%,20.00%,"870,000",,
1,矢野貴之,大井,697,180,109,91,317,25.80%,41.50%,"851,625,000",,
2,笹川翼,大井,622,118,105,84,315,19.00%,35.90%,"538,860,000",,
3,和田譲治,大井,625,80,82,51,412,12.80%,25.90%,"338,005,000",,
4,藤田凌,大井,568,68,61,72,367,12.00%,22.70%,"300,105,000",,
5,吉井章,大井,576,72,61,59,384,12.50%,23.10%,"286,880,000",,
6,御神本訓史,大井,250,47,45,21,137,18.80%,36.80%,"274,790,000",,
7,安藤洋一,大井,535,56,64,44,371,10.50%,22.40%,"267,175,000",,
8,本田正重,大井,412,42,61,43,266,10.20%,25.00%,"261,060,000",,
9,西啓太,大井,506,66,42,41,357,13.00%,21.30%,"241,920,000",,
10,野畑凌,大井,544,52,44,41,407,9.60%,17.60%,"241,510,000",,
11,藤本現暉,大井,543,44,29,56,414,8.10%,13.40%,"184,875,000",,
12,達城龍次,大井,570,40,51,74,405,7.00%,16.00%,"179,870,000",,
